psgc_code,name,submun,city,province
133906060,Barangay 454,Sampaloc,Manila,Metro Manila
133906061,Barangay 455,Sampaloc,Manila,Metro Manila
133906062,Barangay 456,Sampaloc,Manila,Metro Manila
133906063,Barangay 457,Sampaloc,Manila,Metro Manila
133906064,Barangay 458,Sampaloc,Manila,Metro Manila
133906065,Barangay 459,Sampaloc,Manila,Metro Manila
133906066,Barangay 460,Sampaloc,Manila,Metro Manila
133906067,Barangay 461,Sampaloc,Manila,Metro Manila
133906068,Barangay 462,Sampaloc,Manila,Metro Manila
133906069,Barangay 463,Sampaloc,Manila,Metro Manila
133906070,Barangay 464,Sampaloc,Manila,Metro Manila
133906071,Barangay 465,Sampaloc,Manila,Metro Manila
133906072,Barangay 466,Sampaloc,Manila,Metro Manila
133906073,Barangay 467,Sampaloc,Manila,Metro Manila
133906074,Barangay 468,Sampaloc,Manila,Metro Manila
133906075,Barangay 469,Sampaloc,Manila,Metro Manila
133906076,Barangay 470,Sampaloc,Manila,Metro Manila
133906077,Barangay 471,Sampaloc,Manila,Metro Manila
133906078,Barangay 472,Sampaloc,Manila,Metro Manila
133906079,Barangay 473,Sampaloc,Manila,Metro Manila
133906080,Barangay 474,Sampaloc,Manila,Metro Manila
133906081,Barangay 475,Sampaloc,Manila,Metro Manila
133906082,Barangay 476,Sampaloc,Manila,Metro Manila
133906083,Barangay 477,Sampaloc,Manila,Metro Manila
133906084,Barangay 478,Sampaloc,Manila,Metro Manila
133906085,Barangay 479,Sampaloc,Manila,Metro Manila
133906086,Barangay 480,Sampaloc,Manila,Metro Manila
133906087,Barangay 481,Sampaloc,Manila,Metro Manila
133906088,Barangay 482,Sampaloc,Manila,Metro Manila
133906089,Barangay 483,Sampaloc,Manila,Metro Manila
133906090,Barangay 484,Sampaloc,Manila,Metro Manila
133906091,Barangay 485,Sampaloc,Manila,Metro Manila
133906092,Barangay 486,Sampaloc,Manila,Metro Manila
133906093,Barangay 487,Sampaloc,Manila,Metro Manila
133906094,Barangay 488,Sampaloc,Manila,Metro Manila
133906095,Barangay 489,Sampaloc,Manila,Metro Manila
133906096,Barangay 490,Sampaloc,Manila,Metro Manila
133906097,Barangay 491,Sampaloc,Manila,Metro Manila
133906098,Barangay 492,Sampaloc,Manila,Metro Manila
133906099,Barangay 493,Sampaloc,Manila,Metro Manila
133906100,Barangay 494,Sampaloc,Manila,Metro Manila
133906101,Barangay 495,Sampaloc,Manila,Metro Manila
133906102,Barangay 496,Sampaloc,Manila,Metro Manila
133906103,Barangay 497,Sampaloc,Manila,Metro Manila
133906104,Barangay 498,Sampaloc,Manila,Metro Manila
133906105,Barangay 499,Sampaloc,Manila,Metro Manila
133906106,Barangay 500,Sampaloc,Manila,Metro Manila
133906107,Barangay 501,Sampaloc,Manila,Metro Manila
