,code,name,submun,city,province,address
240,133901247,Barangay 246,Tondo,Manila,Metro Manila,"Barangay 246,Tondo,Manila,Metro Manila"
241,133901248,Barangay 247,Tondo,Manila,Metro Manila,"Barangay 247,Tondo,Manila,Metro Manila"
242,133901249,Barangay 248,Tondo,Manila,Metro Manila,"Barangay 248,Tondo,Manila,Metro Manila"
243,133901250,Barangay 249,Tondo,Manila,Metro Manila,"Barangay 249,Tondo,Manila,Metro Manila"
244,133901251,Barangay 250,Tondo,Manila,Metro Manila,"Barangay 250,Tondo,Manila,Metro Manila"
245,133901252,Barangay 251,Tondo,Manila,Metro Manila,"Barangay 251,Tondo,Manila,Metro Manila"
246,133901253,Barangay 252,Tondo,Manila,Metro Manila,"Barangay 252,Tondo,Manila,Metro Manila"
247,133901254,Barangay 253,Tondo,Manila,Metro Manila,"Barangay 253,Tondo,Manila,Metro Manila"
248,133901255,Barangay 254,Tondo,Manila,Metro Manila,"Barangay 254,Tondo,Manila,Metro Manila"
249,133901256,Barangay 255,Tondo,Manila,Metro Manila,"Barangay 255,Tondo,Manila,Metro Manila"
250,133901257,Barangay 256,Tondo,Manila,Metro Manila,"Barangay 256,Tondo,Manila,Metro Manila"
251,133901258,Barangay 257,Tondo,Manila,Metro Manila,"Barangay 257,Tondo,Manila,Metro Manila"
252,133901259,Barangay 258,Tondo,Manila,Metro Manila,"Barangay 258,Tondo,Manila,Metro Manila"
253,133901260,Barangay 259,Tondo,Manila,Metro Manila,"Barangay 259,Tondo,Manila,Metro Manila"
254,133901261,Barangay 260,Tondo,Manila,Metro Manila,"Barangay 260,Tondo,Manila,Metro Manila"
255,133901262,Barangay 261,Tondo,Manila,Metro Manila,"Barangay 261,Tondo,Manila,Metro Manila"
256,133901263,Barangay 262,Tondo,Manila,Metro Manila,"Barangay 262,Tondo,Manila,Metro Manila"
257,133901264,Barangay 263,Tondo,Manila,Metro Manila,"Barangay 263,Tondo,Manila,Metro Manila"
